iteration,problem instance,problem seed,algorithm seed,starting fitness,ensemble number,fitness,number of runs,heuristics
0,0,1000,1000,0.08989069643806458,0,0.0803301282051283,13,"[211, 82, 302, 152, 235]"
1,0,1001,1001,0.10198448139350869,0,0.08909941520467901,13,"[211, 82, 302, 152, 235]"
2,0,1002,1002,0.08962743221690583,0,0.08455742073008266,5,"[211, 82, 302, 152, 235]"
3,0,1003,1003,0.097868783068783,0,0.08393391953104112,16,"[211, 82, 302, 152, 235]"
4,0,1004,1004,0.09727259259259236,0,0.0677979015334933,30,"[211, 82, 302, 152, 235]"
5,0,1005,1005,0.09724888888888894,0,0.08105918803418821,9,"[211, 82, 302, 152, 235]"
6,0,1006,1006,0.08983009037745804,0,0.07986730769230665,11,"[211, 82, 302, 152, 235]"
7,0,1007,1007,0.09816465608465619,0,0.09263113232564324,7,"[211, 82, 302, 152, 235]"
8,0,1008,1008,0.10130102929532903,0,0.07595780455153855,30,"[211, 82, 302, 152, 235]"
9,0,1009,1009,0.09698116402116386,0,0.0883742690058481,10,"[211, 82, 302, 152, 235]"
10,0,1010,1010,0.09754539682539776,0,0.07585392235609056,20,"[211, 82, 302, 152, 235]"
11,0,1011,1011,0.09832126984127032,0,0.08025384615384601,23,"[211, 82, 302, 152, 235]"
12,0,1012,1012,0.08919978734715639,0,0.08058183760683757,8,"[211, 82, 302, 152, 235]"
13,0,1013,1013,0.09729904761904684,0,0.0845395150546221,14,"[211, 82, 302, 152, 235]"
14,0,1014,1014,0.09704550264550194,0,0.07546045515394717,22,"[211, 82, 302, 152, 235]"
15,0,1015,1015,0.08906730462519952,0,0.08412001065814023,3,"[211, 82, 302, 152, 235]"
16,0,1016,1016,0.10161942465030382,0,0.08906113769271662,10,"[211, 82, 302, 152, 235]"
17,0,1017,1017,0.09808126984126986,0,0.08946560340244569,7,"[211, 82, 302, 152, 235]"
18,0,1018,1018,0.1020944840327277,0,0.08418374633626413,18,"[211, 82, 302, 152, 235]"
19,0,1019,1019,0.09703365079365112,0,0.07539876840696058,19,"[211, 82, 302, 152, 235]"
20,0,1020,1020,0.09370395120657737,0,0.08843806485911854,6,"[211, 82, 302, 152, 235]"
21,0,1021,1021,0.09336324582338928,0,0.07973739316239237,11,"[211, 82, 302, 152, 235]"
22,0,1022,1022,0.10839085894405154,0,0.07221470746108316,26,"[211, 82, 302, 152, 235]"
23,0,1023,1023,0.08514020783373266,0,0.07610752342704019,9,"[211, 82, 302, 152, 235]"
24,0,1024,1024,0.09320583399628724,0,0.07987884615384622,13,"[211, 82, 302, 152, 235]"
25,0,1025,1025,0.09387048528241837,0,0.07970854700854646,12,"[211, 82, 302, 152, 235]"
26,0,1026,1026,0.09826666666666783,0,0.08090918803418867,15,"[211, 82, 302, 152, 235]"
27,0,1027,1027,0.09732296296296361,0,0.08509480415667536,8,"[211, 82, 302, 152, 235]"
28,0,1028,1028,0.09327393264386141,0,0.0846141220357054,12,"[211, 82, 302, 152, 235]"
29,0,1029,1029,0.09399628745690825,0,0.08407290167865733,10,"[211, 82, 302, 152, 235]"
30,0,1030,1030,0.1015070994985493,0,0.08018931623931702,25,"[211, 82, 302, 152, 235]"
31,0,1031,1031,0.09312818880933438,0,0.08885869218500819,8,"[211, 82, 302, 152, 235]"
32,0,1032,1032,0.08962700691121717,0,0.06660145278450225,29,"[211, 82, 302, 152, 235]"
33,0,1033,1033,0.08967527910685802,0,0.08031944444444394,15,"[211, 82, 302, 152, 235]"
34,0,1034,1034,0.10128477170757422,0,0.08463501199040713,14,"[211, 82, 302, 152, 235]"
35,0,1035,1035,0.10153496964898379,0,0.08415496935784739,13,"[211, 82, 302, 152, 235]"
36,0,1036,1036,0.10045246766956939,0,0.08027735042735007,16,"[211, 82, 302, 152, 235]"
37,0,1037,1037,0.10101916072842476,0,0.08471601385558225,14,"[211, 82, 302, 152, 235]"
38,0,1038,1038,0.09815894179894114,0,0.09278260408379702,6,"[211, 82, 302, 152, 235]"
39,0,1039,1039,0.08995151515151523,0,0.08418459898747654,12,"[211, 82, 302, 152, 235]"
40,0,1040,1040,0.08920361509835262,0,0.08405606181721303,5,"[211, 82, 302, 152, 235]"
41,0,1041,1041,0.09386836382922359,0,0.08416690647482039,12,"[211, 82, 302, 152, 235]"
42,0,1042,1042,0.09807767195767125,0,0.07664085676037402,25,"[211, 82, 302, 152, 235]"
43,0,1043,1043,0.0972374603174605,0,0.08024572649572614,23,"[211, 82, 302, 152, 235]"
44,0,1044,1044,0.09759555555555521,0,0.08520373034905337,9,"[211, 82, 302, 152, 235]"
45,0,1045,1045,0.09967337028239798,0,0.06668151735270234,30,"[211, 82, 302, 152, 235]"
46,0,1046,1046,0.1009397730271836,0,0.07987393162393075,10,"[211, 82, 302, 152, 235]"
47,0,1047,1047,0.0976770370370379,0,0.08855502392344561,8,"[211, 82, 302, 152, 235]"
48,0,1048,1048,0.09342052505966614,0,0.08843253588516731,5,"[211, 82, 302, 152, 235]"
49,0,1049,1049,0.09351514187218213,0,0.0756285943775089,18,"[211, 82, 302, 152, 235]"
0,1,1000,1000,0.09996490134994807,0,0.07975056474914621,17,"[211, 82, 302, 152, 235]"
1,1,1001,1001,0.09311090245174758,0,0.07573396524486498,17,"[211, 82, 302, 152, 235]"
2,1,1002,1002,0.095959406713505,0,0.06263081410766103,33,"[211, 82, 302, 152, 235]"
3,1,1003,1003,0.09277871674491356,0,0.07937861833464621,14,"[211, 82, 302, 152, 235]"
4,1,1004,1004,0.09242378716744903,0,0.08350985324947602,10,"[211, 82, 302, 152, 235]"
5,1,1005,1005,0.0890235816993471,0,0.08402327044025182,9,"[211, 82, 302, 152, 235]"
6,1,1006,1006,0.09735352589123136,0,0.08012986603624905,18,"[211, 82, 302, 152, 235]"
7,1,1007,1007,0.096452563101743,0,0.08776470588235241,7,"[211, 82, 302, 152, 235]"
8,1,1008,1008,0.10031692627206557,0,0.061931158843805734,39,"[211, 82, 302, 152, 235]"
9,1,1009,1009,0.09254355764214972,0,0.08360503144654086,8,"[211, 82, 302, 152, 235]"
10,1,1010,1010,0.09273051643192542,0,0.08774797385620992,8,"[211, 82, 302, 152, 235]"
11,1,1011,1011,0.09693801717408235,0,0.08399475890985286,14,"[211, 82, 302, 152, 235]"
12,1,1012,1012,0.09192571726656196,0,0.0625175285070253,26,"[211, 82, 302, 152, 235]"
13,1,1013,1013,0.09322524778299435,0,0.0799375886524818,21,"[211, 82, 302, 152, 235]"
14,1,1014,1014,0.09665781941191731,0,0.07513301737756561,22,"[211, 82, 302, 152, 235]"
15,1,1015,1015,0.09249347939488739,0,0.07552985781990296,16,"[211, 82, 302, 152, 235]"
16,1,1016,1016,0.09621275045537336,0,0.08394654088050246,11,"[211, 82, 302, 152, 235]"
17,1,1017,1017,0.09235054773082918,0,0.06777904761904552,21,"[211, 82, 302, 152, 235]"
18,1,1018,1018,0.09970238836967837,0,0.08354591194968586,9,"[211, 82, 302, 152, 235]"
19,1,1019,1019,0.09280438184663542,0,0.08047932755450482,10,"[211, 82, 302, 152, 235]"
20,1,1020,1020,0.09221324986958856,0,0.07929330181245009,13,"[211, 82, 302, 152, 235]"
21,1,1021,1021,0.0843863731656177,0,0.08024355135277017,5,"[211, 82, 302, 152, 235]"
22,1,1022,1022,0.0972998178506379,0,0.0798402941949038,17,"[211, 82, 302, 152, 235]"
23,1,1023,1023,0.09246927490871226,0,0.08350188679245374,9,"[211, 82, 302, 152, 235]"
24,1,1024,1024,0.0932809598330736,0,0.08769192156862815,7,"[211, 82, 302, 152, 235]"
25,1,1025,1025,0.09250453834115857,0,0.07595302790942504,17,"[211, 82, 302, 152, 235]"
26,1,1026,1026,0.09260219092331823,0,0.08439329140461249,8,"[211, 82, 302, 152, 235]"
27,1,1027,1027,0.10143966770508916,0,0.08392662473794588,14,"[211, 82, 302, 152, 235]"
28,1,1028,1028,0.09256922274387103,0,0.08357379454926661,8,"[211, 82, 302, 152, 235]"
29,1,1029,1029,0.08449454926624689,0,0.08032403467297011,6,"[211, 82, 302, 152, 235]"
30,1,1030,1030,0.0925529473135096,0,0.0883806535947701,6,"[211, 82, 302, 152, 235]"
31,1,1031,1031,0.0961550871714808,0,0.09193448095983292,3,"[211, 82, 302, 152, 235]"
32,1,1032,1032,0.0925930099113198,0,0.07923551352771119,15,"[211, 82, 302, 152, 235]"
33,1,1033,1033,0.09248847157016182,0,0.07616029489204723,18,"[211, 82, 302, 152, 235]"
34,1,1034,1034,0.09982679127725791,0,0.07512564507635489,19,"[211, 82, 302, 152, 235]"
35,1,1035,1035,0.09681103304709893,0,0.08767602614379111,10,"[211, 82, 302, 152, 235]"
36,1,1036,1036,0.09652105126203525,0,0.07554102159031029,20,"[211, 82, 302, 152, 235]"
37,1,1037,1037,0.09263328116849301,0,0.08455031446540917,8,"[211, 82, 302, 152, 235]"
38,1,1038,1038,0.08415597484276505,0,0.07148609131696726,22,"[211, 82, 302, 152, 235]"
39,1,1039,1039,0.09336338028169067,0,0.08780695424836682,7,"[211, 82, 302, 152, 235]"
40,1,1040,1040,0.10450142450142408,0,0.08393542976939194,16,"[211, 82, 302, 152, 235]"
41,1,1041,1041,0.08847142483660131,0,0.08019164696611458,7,"[211, 82, 302, 152, 235]"
42,1,1042,1042,0.09624709862086944,0,0.07509468141126796,17,"[211, 82, 302, 152, 235]"
43,1,1043,1043,0.09284047991653588,0,0.0797179931704739,13,"[211, 82, 302, 152, 235]"
44,1,1044,1044,0.09650085870413772,0,0.07970202258996517,19,"[211, 82, 302, 152, 235]"
45,1,1045,1045,0.10411686091686145,0,0.08866028758169997,8,"[211, 82, 302, 152, 235]"
46,1,1046,1046,0.10086209761163023,0,0.08790776470588213,9,"[211, 82, 302, 152, 235]"
47,1,1047,1047,0.09267104851330266,0,0.07938135014447101,12,"[211, 82, 302, 152, 235]"
48,1,1048,1048,0.1008795430944962,0,0.09215023474178385,6,"[211, 82, 302, 152, 235]"
49,1,1049,1049,0.09250954616588458,0,0.08486687631027279,6,"[211, 82, 302, 152, 235]"
0,2,1000,1000,0.11365796923076843,0,0.05401733333333325,8,"[211, 82, 302, 152, 235]"
1,2,1001,1001,0.08843871874999987,0,0.05310853968253959,10,"[211, 82, 302, 152, 235]"
2,2,1002,1002,0.17761897058823517,0,0.0581292380952384,8,"[211, 82, 302, 152, 235]"
3,2,1003,1003,0.11231292307692342,0,0.08193003125000031,5,"[211, 82, 302, 152, 235]"
4,2,1004,1004,0.11176975384615362,0,0.05675200000000025,11,"[211, 82, 302, 152, 235]"
5,2,1005,1005,0.15742808955223886,0,0.0618229206349209,8,"[211, 82, 302, 152, 235]"
6,2,1006,1006,0.11297704615384607,0,0.06098279365079362,3,"[211, 82, 302, 152, 235]"
7,2,1007,1007,0.11202252307692318,0,0.053101492063491795,12,"[211, 82, 302, 152, 235]"
8,2,1008,1008,0.11442264615384623,0,0.05778412698412716,10,"[211, 82, 302, 152, 235]"
9,2,1009,1009,0.08994574999999994,0,0.05812203174603192,7,"[211, 82, 302, 152, 235]"
10,2,1010,1010,0.13401942424242386,0,0.05752273015872977,14,"[211, 82, 302, 152, 235]"
11,2,1011,1011,0.1138898461538459,0,0.05730200000000052,13,"[211, 82, 302, 152, 235]"
12,2,1012,1012,0.13545899999999989,0,0.05328822222222185,13,"[211, 82, 302, 152, 235]"
